name,gender,SSN,age,complete address,zipcode of residence,state of residence,S1,S2,S3
Jessica Howard,Female,362-10-1150,49,9152 Briggs Shoal South Chad  MA 33957,33957,MA,STRONGLY DISAGREE,STRONGLY AGREE,DISAGREE
Bradley Walker,Male,640-15-1839,48,1894 Lisa Ferry Suite 681 New Charlesville  FL 40005,40005,FL,DISAGREE,DISAGREE,DISAGREE
Kyle Wilson,Male,263-25-0125,23,08425 Lisa Forges New Larryshire  KS 05158,5158,KS,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Abigail Dominguez,Female,470-94-7890,75,Unit 5094 Box 9897 DPO AP 52327,52327,AP,STRONGLY DISAGREE,AGREE,STRONGLY AGREE
Lori Thomas,Female,790-34-5267,46,756 Amanda Points Apt. 356 Millsberg  IL 06086,6086,IL,STRONGLY AGREE,AGREE,DISAGREE
Krystal Davis,Female,012-42-5792,41,3145 James Points Cynthiamouth  KS 64416,64416,KS,DISAGREE,STRONGLY DISAGREE,sometimes
Glenda Dillon,Female,497-76-0412,57,6308 Smith Ferry Apt. 697 Charlottehaven  CO 58483,58483,CO,AGREE,maybe,DISAGREE
Keith Dixon,Male,163-31-0363,34,53086 Thomas Gateway Apt. 932 North Melissaburgh  OK 80972,80972,OK,AGREE,AGREE,sometimes
Keith Pearson,Male,309-28-9803,51,39952 Patterson Throughway Apt. 237 New Lauriefort  CO 32210,32210,CO,STRONGLY DISAGREE,don't know,STRONGLY DISAGREE
Stephen Schmidt,Male,307-36-3675,64,163 Padilla Wall New Melanie  MA 08050,8050,MA,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Robert Bradford,Male,568-23-3406,19,679 Catherine Stravenue Suite 430 New Cindytown  IN 40029,40029,IN,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Kristen Frost,Female,368-70-5528,46,26538 Charles Ferry Santiagofurt  NC 63206,63206,NC,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE
Chelsea Garrison,Female,118-11-3621,73,USCGC Johnson FPO AP 39654,39654,AP,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Brian Marshall,Male,774-28-1865,62,179 Tiffany Summit Apt. 053 Shaneview  IL 33848,33848,IL,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Lisa Aguirre,Female,731-41-8588,77,14181 Madison Mountains North Michellefurt  MN 91204,91204,MN,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Elizabeth Keller,Female,789-74-6934,37,4447 Miller Heights Melissabury  OR 06473,6473,OR,DISAGREE,AGREE,STRONGLY AGREE
Alicia Rivera,Female,852-44-8899,52,0450 Chelsey Square Apt. 092 Caitlinhaven  CA 69126,69126,CA,STRONGLY DISAGREE,DISAGREE,STRONGLY AGREE
Tyler Caldwell,Male,818-91-7007,49,USCGC Kennedy FPO AA 79350,79350,AA,STRONGLY DISAGREE,DISAGREE,AGREE
Russell Roth,Male,596-39-1515,60,815 Price Plains Apt. 945 Ruizton  CT 70435,70435,CT,DISAGREE,STRONGLY DISAGREE,DISAGREE
Joseph King,Male,708-98-1940,73,USS Pearson FPO AE 59747,59747,AE,DISAGREE,DISAGREE,AGREE
